year,genre,sum
1989,zz_no genre,71
1990,domestic,2
1990,fsf,4
1990,horror,2
1990,legal,1
1990,mystery,2
1990,romance,2
1990,spy_and_politics,1
1990,suspense,1
1990,zz_needs label,1
1990,zz_no genre,67
1991,adventure,3
1991,domestic,1
1991,fsf,5
1991,horror,3
1991,mystery,2
1991,spy_and_politics,3
1991,zz_needs label,1
1991,zz_no genre,69
1992,adventure,4
1992,domestic,1
1992,fsf,4
1992,horror,2
1992,mystery,3
1992,zz_needs label,2
1992,zz_no genre,69
1993,adventure,3
1993,domestic,1
1993,fsf,4
1993,historical,1
1993,horror,3
1993,legal,2
1993,mystery,2
1993,romance,1
1993,spy_and_politics,2
1993,suspense,1
1993,zz_needs label,1
1993,zz_no genre,65
1994,adventure,3
1994,domestic,1
1994,fsf,4
1994,historical,3
1994,horror,2
1994,mystery,5
1994,suspense,2
1994,zz_no genre,68
1995,adventure,3
1995,domestic,1
1995,historical,1
1995,horror,2
1995,mystery,2
1995,religious,1
1995,suspense,1
1995,war,1
1995,zz_needs label,1
1995,zz_no genre,77
1996,adventure,1
1996,domestic,1
1996,fsf,1
1996,historical,2
1996,horror,1
1996,legal,1
1996,mystery,2
1996,romance,3
1996,spy_and_politics,2
1996,suspense,1
1996,zz_needs label,1
1996,zz_no genre,79
1997,adventure,2
1997,domestic,1
1997,fsf,1
1997,historical,2
1997,horror,1
1997,mystery,4
1997,romance,1
1997,spy_and_politics,2
1997,suspense,2
1997,zz_no genre,91
1998,adventure,1
1998,domestic,1
1998,fsf,1
1998,historical,1
1998,horror,1
1998,mystery,4
1998,romance,2
1998,suspense,1
1998,war,1
1998,zz_no genre,84
1999,adventure,4
1999,fsf,4
1999,horror,1
1999,legal,3
1999,mystery,2
1999,religious,2
1999,romance,5
1999,zz_no genre,85
2000,adventure,6
2000,fsf,4
2000,historical,3
2000,horror,1
2000,legal,4
2000,mystery,2
2000,romance,2
2000,spy_and_politics,2
2000,war,1
2000,ya,1
2000,zz_needs label,1
2000,zz_no genre,93
2001,adventure,3
2001,domestic,1
2001,fsf,3
2001,horror,2
2001,legal,3
2001,mystery,4
2001,religious,2
2001,romance,1
2001,spy_and_politics,2
2001,suspense,5
2001,ya,1
2001,zz_no genre,106
2002,adventure,1
2002,domestic,2
2002,fsf,1
2002,horror,1
2002,mystery,1
2002,romance,1
2002,spy_and_politics,1
2002,war,1
2002,zz_needs label,1
2002,zz_no genre,120
2003,domestic,2
2003,fsf,1
2003,historical,3
2003,horror,1
2003,mystery,1
2003,spy_and_politics,2
2003,suspense,2
2003,zz_needs label,1
2003,zz_no genre,130
2004,adventure,1
2004,domestic,1
2004,fsf,3
2004,horror,2
2004,mystery,1
2004,spy_and_politics,1
2004,zz_needs label,1
2004,zz_no genre,127
2005,domestic,1
2005,fsf,3
2005,horror,2
2005,mystery,1
2005,religious,1
2005,romance,2
2005,suspense,3
2005,zz_needs label,3
2005,zz_no genre,130
2006,domestic,3
2006,fsf,1
2006,horror,5
2006,legal,2
2006,mystery,3
2006,romance,3
2006,spy_and_politics,1
2006,suspense,1
2006,zz_needs label,3
2006,zz_no genre,143
2007,domestic,1
2007,fsf,1
2007,historical,1
2007,horror,1
2007,legal,3
2007,romance,1
2007,spy_and_politics,1
2007,suspense,2
2007,zz_needs label,3
2007,zz_no genre,153
2008,domestic,1
2008,fsf,5
2008,horror,3
2008,legal,1
2008,mystery,3
2008,religious,1
2008,romance,1
2008,spy_and_politics,2
2008,suspense,4
2008,war,1
2008,zz_needs label,1
2008,zz_no genre,155
2009,adventure,3
2009,fsf,3
2009,horror,3
2009,legal,1
2009,mystery,3
2009,romance,1
2009,spy_and_politics,4
2009,suspense,4
2009,zz_needs label,1
2009,zz_no genre,175
2010,fsf,1
2010,historical,1
2010,horror,1
2010,legal,1
2010,mystery,3
2010,suspense,3
2010,zz_no genre,185
2011,fsf,1
2011,historical,1
2011,horror,3
2011,mystery,3
2011,suspense,4
2011,war,1
2011,zz_no genre,178
2012,domestic,2
2012,fsf,1
2012,horror,5
2012,romance,2
2012,suspense,1
2012,zz_needs label,2
2012,zz_no genre,183
2013,fsf,1
2013,historical,2
2013,horror,2
2013,mystery,2
2013,suspense,1
2013,zz_needs label,2
2013,zz_no genre,195
2014,fsf,2
2014,historical,1
2014,mystery,1
2014,romance,1
2014,suspense,3
2014,zz_no genre,186
2015,adventure,1
2015,fsf,2
2015,mystery,1
2015,romance,1
2015,suspense,3
2015,zz_no genre,171
2016,fsf,1
2016,horror,2
2016,legal,1
2016,mystery,1
2016,romance,1
2016,zz_no genre,162
2017,mystery,1
2017,zz_needs label,7
2017,zz_no genre,32
